"Country Code","Series Code","Time","Value"
"ABW","SI.POV.DDAY",2013,..
"ABW","SI.POV.DDAY",2012,..
"ABW","SI.POV.DDAY",2011,..
"ABW","SI.POV.DDAY",2010,..
"AFG","SI.POV.DDAY",2013,..
"AFG","SI.POV.DDAY",2012,..
"AFG","SI.POV.DDAY",2011,..
"AFG","SI.POV.DDAY",2010,..
"AGO","SI.POV.DDAY",2013,..
"AGO","SI.POV.DDAY",2012,..
"AGO","SI.POV.DDAY",2011,..
"AGO","SI.POV.DDAY",2010,..
"ALB","SI.POV.DDAY",2013,..
"ALB","SI.POV.DDAY",2012,1.1
"ALB","SI.POV.DDAY",2011,..
"ALB","SI.POV.DDAY",2010,..
"AND","SI.POV.DDAY",2013,..
"AND","SI.POV.DDAY",2012,..
"AND","SI.POV.DDAY",2011,..
"AND","SI.POV.DDAY",2010,..
"ARE","SI.POV.DDAY",2013,..
"ARE","SI.POV.DDAY",2012,..
"ARE","SI.POV.DDAY",2011,..
"ARE","SI.POV.DDAY",2010,..
"ARG","SI.POV.DDAY",2013,0.8
"ARG","SI.POV.DDAY",2012,0.8
"ARG","SI.POV.DDAY",2011,0.9
"ARG","SI.POV.DDAY",2010,1.1
"ARM","SI.POV.DDAY",2013,2.2
"ARM","SI.POV.DDAY",2012,1.6
"ARM","SI.POV.DDAY",2011,2.2
"ARM","SI.POV.DDAY",2010,1.9
"ASM","SI.POV.DDAY",2013,..
"ASM","SI.POV.DDAY",2012,..
"ASM","SI.POV.DDAY",2011,..
"ASM","SI.POV.DDAY",2010,..
"ATG","SI.POV.DDAY",2013,..
"ATG","SI.POV.DDAY",2012,..
"ATG","SI.POV.DDAY",2011,..
"ATG","SI.POV.DDAY",2010,..
"AUS","SI.POV.DDAY",2013,..
"AUS","SI.POV.DDAY",2012,..
"AUS","SI.POV.DDAY",2011,..
"AUS","SI.POV.DDAY",2010,0.3
"AUT","SI.POV.DDAY",2013,0.2
"AUT","SI.POV.DDAY",2012,0.5
"AUT","SI.POV.DDAY",2011,0.5
"AUT","SI.POV.DDAY",2010,0.5
"AZE","SI.POV.DDAY",2013,..
"AZE","SI.POV.DDAY",2012,..
"AZE","SI.POV.DDAY",2011,..
"AZE","SI.POV.DDAY",2010,..
"BDI","SI.POV.DDAY",2013,71.7
"BDI","SI.POV.DDAY",2012,..
"BDI","SI.POV.DDAY",2011,..
"BDI","SI.POV.DDAY",2010,..
"BEL","SI.POV.DDAY",2013,0.2
"BEL","SI.POV.DDAY",2012,0.2
"BEL","SI.POV.DDAY",2011,0.2
"BEL","SI.POV.DDAY",2010,0.2
"BEN","SI.POV.DDAY",2013,..
"BEN","SI.POV.DDAY",2012,..
"BEN","SI.POV.DDAY",2011,53.1
"BEN","SI.POV.DDAY",2010,..
"BFA","SI.POV.DDAY",2013,..
"BFA","SI.POV.DDAY",2012,..
"BFA","SI.POV.DDAY",2011,..
"BFA","SI.POV.DDAY",2010,..
"BGD","SI.POV.DDAY",2013,..
"BGD","SI.POV.DDAY",2012,..
"BGD","SI.POV.DDAY",2011,..
"BGD","SI.POV.DDAY",2010,19.6
"BGR","SI.POV.DDAY",2013,1.7
"BGR","SI.POV.DDAY",2012,2
"BGR","SI.POV.DDAY",2011,2.2
"BGR","SI.POV.DDAY",2010,2
"BHR","SI.POV.DDAY",2013,..
"BHR","SI.POV.DDAY",2012,..
"BHR","SI.POV.DDAY",2011,..
"BHR","SI.POV.DDAY",2010,..
"BHS","SI.POV.DDAY",2013,..
"BHS","SI.POV.DDAY",2012,..
"BHS","SI.POV.DDAY",2011,..
"BHS","SI.POV.DDAY",2010,..
"BIH","SI.POV.DDAY",2013,..
"BIH","SI.POV.DDAY",2012,..
"BIH","SI.POV.DDAY",2011,0.1
"BIH","SI.POV.DDAY",2010,..
"BLR","SI.POV.DDAY",2013,0
"BLR","SI.POV.DDAY",2012,0
"BLR","SI.POV.DDAY",2011,0
"BLR","SI.POV.DDAY",2010,0
"BLZ","SI.POV.DDAY",2013,..
"BLZ","SI.POV.DDAY",2012,..
"BLZ","SI.POV.DDAY",2011,..
"BLZ","SI.POV.DDAY",2010,..
"BMU","SI.POV.DDAY",2013,..
"BMU","SI.POV.DDAY",2012,..
"BMU","SI.POV.DDAY",2011,..
"BMU","SI.POV.DDAY",2010,..
"BOL","SI.POV.DDAY",2013,6.9
"BOL","SI.POV.DDAY",2012,8.2
"BOL","SI.POV.DDAY",2011,7.3
"BOL","SI.POV.DDAY",2010,..
"BRA","SI.POV.DDAY",2013,3.8
"BRA","SI.POV.DDAY",2012,3.8
"BRA","SI.POV.DDAY",2011,4.7
"BRA","SI.POV.DDAY",2010,..
"BRB","SI.POV.DDAY",2013,..
"BRB","SI.POV.DDAY",2012,..
"BRB","SI.POV.DDAY",2011,..
"BRB","SI.POV.DDAY",2010,..
"BRN","SI.POV.DDAY",2013,..
"BRN","SI.POV.DDAY",2012,..
"BRN","SI.POV.DDAY",2011,..
"BRN","SI.POV.DDAY",2010,..
"BTN","SI.POV.DDAY",2013,..
"BTN","SI.POV.DDAY",2012,2.2
"BTN","SI.POV.DDAY",2011,..
"BTN","SI.POV.DDAY",2010,..
"BWA","SI.POV.DDAY",2013,..
"BWA","SI.POV.DDAY",2012,..
"BWA","SI.POV.DDAY",2011,..
"BWA","SI.POV.DDAY",2010,..
"CAF","SI.POV.DDAY",2013,..
"CAF","SI.POV.DDAY",2012,..
"CAF","SI.POV.DDAY",2011,..
"CAF","SI.POV.DDAY",2010,..
"CAN","SI.POV.DDAY",2013,0.3
"CAN","SI.POV.DDAY",2012,..
"CAN","SI.POV.DDAY",2011,..
"CAN","SI.POV.DDAY",2010,0.4
"CHE","SI.POV.DDAY",2013,0
"CHE","SI.POV.DDAY",2012,0
"CHE","SI.POV.DDAY",2011,0
"CHE","SI.POV.DDAY",2010,0
"CHI","SI.POV.DDAY",2013,..
"CHI","SI.POV.DDAY",2012,..
"CHI","SI.POV.DDAY",2011,..
"CHI","SI.POV.DDAY",2010,..
"CHL","SI.POV.DDAY",2013,0.9
"CHL","SI.POV.DDAY",2012,..
"CHL","SI.POV.DDAY",2011,1.6
"CHL","SI.POV.DDAY",2010,..
"CHN","SI.POV.DDAY",2013,1.9
"CHN","SI.POV.DDAY",2012,6.5
"CHN","SI.POV.DDAY",2011,7.9
"CHN","SI.POV.DDAY",2010,11.2
"CIV","SI.POV.DDAY",2013,..
"CIV","SI.POV.DDAY",2012,..
"CIV","SI.POV.DDAY",2011,..
"CIV","SI.POV.DDAY",2010,..
"CMR","SI.POV.DDAY",2013,..
"CMR","SI.POV.DDAY",2012,..
"CMR","SI.POV.DDAY",2011,..
"CMR","SI.POV.DDAY",2010,..
"COD","SI.POV.DDAY",2013,..
"COD","SI.POV.DDAY",2012,77.1
"COD","SI.POV.DDAY",2011,..
"COD","SI.POV.DDAY",2010,..
"COG","SI.POV.DDAY",2013,..
"COG","SI.POV.DDAY",2012,..
"COG","SI.POV.DDAY",2011,37
"COG","SI.POV.DDAY",2010,..
"COL","SI.POV.DDAY",2013,5.7
"COL","SI.POV.DDAY",2012,6.3
"COL","SI.POV.DDAY",2011,6.4
"COL","SI.POV.DDAY",2010,7.8
"COM","SI.POV.DDAY",2013,18.1
"COM","SI.POV.DDAY",2012,..
"COM","SI.POV.DDAY",2011,..
"COM","SI.POV.DDAY",2010,..
"CPV","SI.POV.DDAY",2013,..
"CPV","SI.POV.DDAY",2012,..
"CPV","SI.POV.DDAY",2011,..
"CPV","SI.POV.DDAY",2010,..
"CRI","SI.POV.DDAY",2013,1.6
"CRI","SI.POV.DDAY",2012,1.6
"CRI","SI.POV.DDAY",2011,1.6
"CRI","SI.POV.DDAY",2010,1.5
"CUB","SI.POV.DDAY",2013,..
"CUB","SI.POV.DDAY",2012,..
"CUB","SI.POV.DDAY",2011,..
"CUB","SI.POV.DDAY",2010,..
"CUW","SI.POV.DDAY",2013,..
"CUW","SI.POV.DDAY",2012,..
"CUW","SI.POV.DDAY",2011,..
"CUW","SI.POV.DDAY",2010,..
"CYM","SI.POV.DDAY",2013,..
"CYM","SI.POV.DDAY",2012,..
"CYM","SI.POV.DDAY",2011,..
"CYM","SI.POV.DDAY",2010,..
"CYP","SI.POV.DDAY",2013,0
"CYP","SI.POV.DDAY",2012,0
"CYP","SI.POV.DDAY",2011,0
"CYP","SI.POV.DDAY",2010,0
"CZE","SI.POV.DDAY",2013,0
"CZE","SI.POV.DDAY",2012,0
"CZE","SI.POV.DDAY",2011,0
"CZE","SI.POV.DDAY",2010,0
"DEU","SI.POV.DDAY",2013,0
"DEU","SI.POV.DDAY",2012,..
"DEU","SI.POV.DDAY",2011,0
"DEU","SI.POV.DDAY",2010,0
"DJI","SI.POV.DDAY",2013,22.5
"DJI","SI.POV.DDAY",2012,18.3
"DJI","SI.POV.DDAY",2011,..
"DJI","SI.POV.DDAY",2010,..
"DMA","SI.POV.DDAY",2013,..
"DMA","SI.POV.DDAY",2012,..
"DMA","SI.POV.DDAY",2011,..
"DMA","SI.POV.DDAY",2010,..
"DNK","SI.POV.DDAY",2013,0.2
"DNK","SI.POV.DDAY",2012,0
"DNK","SI.POV.DDAY",2011,0
"DNK","SI.POV.DDAY",2010,0
"DOM","SI.POV.DDAY",2013,2.4
"DOM","SI.POV.DDAY",2012,2.7
"DOM","SI.POV.DDAY",2011,2.9
"DOM","SI.POV.DDAY",2010,2.6
"DZA","SI.POV.DDAY",2013,..
"DZA","SI.POV.DDAY",2012,..
"DZA","SI.POV.DDAY",2011,0.5
"DZA","SI.POV.DDAY",2010,..
"ECU","SI.POV.DDAY",2013,3.2
"ECU","SI.POV.DDAY",2012,4.5
"ECU","SI.POV.DDAY",2011,4.7
"ECU","SI.POV.DDAY",2010,5.6
"EGY","SI.POV.DDAY",2013,..
"EGY","SI.POV.DDAY",2012,2.3
"EGY","SI.POV.DDAY",2011,..
"EGY","SI.POV.DDAY",2010,3
"ERI","SI.POV.DDAY",2013,..
"ERI","SI.POV.DDAY",2012,..
"ERI","SI.POV.DDAY",2011,..
"ERI","SI.POV.DDAY",2010,..
"ESP","SI.POV.DDAY",2013,1.2
"ESP","SI.POV.DDAY",2012,1
"ESP","SI.POV.DDAY",2011,1.2
"ESP","SI.POV.DDAY",2010,0.7
"EST","SI.POV.DDAY",2013,1
"EST","SI.POV.DDAY",2012,0.7
"EST","SI.POV.DDAY",2011,1
"EST","SI.POV.DDAY",2010,0.7
"ETH","SI.POV.DDAY",2013,..
"ETH","SI.POV.DDAY",2012,..
"ETH","SI.POV.DDAY",2011,..
"ETH","SI.POV.DDAY",2010,33.6
"FIN","SI.POV.DDAY",2013,0
"FIN","SI.POV.DDAY",2012,0
"FIN","SI.POV.DDAY",2011,0
"FIN","SI.POV.DDAY",2010,0
"FJI","SI.POV.DDAY",2013,1.4
"FJI","SI.POV.DDAY",2012,..
"FJI","SI.POV.DDAY",2011,..
"FJI","SI.POV.DDAY",2010,..
"FRA","SI.POV.DDAY",2013,0
"FRA","SI.POV.DDAY",2012,0
"FRA","SI.POV.DDAY",2011,0
"FRA","SI.POV.DDAY",2010,0
"FRO","SI.POV.DDAY",2013,..
"FRO","SI.POV.DDAY",2012,..
"FRO","SI.POV.DDAY",2011,..
"FRO","SI.POV.DDAY",2010,..
"FSM","SI.POV.DDAY",2013,16
"FSM","SI.POV.DDAY",2012,..
"FSM","SI.POV.DDAY",2011,..
"FSM","SI.POV.DDAY",2010,..
"GAB","SI.POV.DDAY",2013,..
"GAB","SI.POV.DDAY",2012,..
"GAB","SI.POV.DDAY",2011,..
"GAB","SI.POV.DDAY",2010,..
"GBR","SI.POV.DDAY",2013,0.2
"GBR","SI.POV.DDAY",2012,0.2
"GBR","SI.POV.DDAY",2011,0.2
"GBR","SI.POV.DDAY",2010,0.2
"GEO","SI.POV.DDAY",2013,6.9
"GEO","SI.POV.DDAY",2012,9
"GEO","SI.POV.DDAY",2011,11.6
"GEO","SI.POV.DDAY",2010,13.3
"GHA","SI.POV.DDAY",2013,..
"GHA","SI.POV.DDAY",2012,12
"GHA","SI.POV.DDAY",2011,..
"GHA","SI.POV.DDAY",2010,..
"GIB","SI.POV.DDAY",2013,..
"GIB","SI.POV.DDAY",2012,..
"GIB","SI.POV.DDAY",2011,..
"GIB","SI.POV.DDAY",2010,..
"GIN","SI.POV.DDAY",2013,..
"GIN","SI.POV.DDAY",2012,35.3
"GIN","SI.POV.DDAY",2011,..
"GIN","SI.POV.DDAY",2010,..
"GMB","SI.POV.DDAY",2013,..
"GMB","SI.POV.DDAY",2012,..
"GMB","SI.POV.DDAY",2011,..
"GMB","SI.POV.DDAY",2010,25.1
"GNB","SI.POV.DDAY",2013,..
"GNB","SI.POV.DDAY",2012,..
"GNB","SI.POV.DDAY",2011,..
"GNB","SI.POV.DDAY",2010,67.1
"GNQ","SI.POV.DDAY",2013,..
"GNQ","SI.POV.DDAY",2012,..
"GNQ","SI.POV.DDAY",2011,..
"GNQ","SI.POV.DDAY",2010,..
"GRC","SI.POV.DDAY",2013,1
"GRC","SI.POV.DDAY",2012,1.5
"GRC","SI.POV.DDAY",2011,1.2
"GRC","SI.POV.DDAY",2010,1
"GRD","SI.POV.DDAY",2013,..
"GRD","SI.POV.DDAY",2012,..
"GRD","SI.POV.DDAY",2011,..
"GRD","SI.POV.DDAY",2010,..
"GRL","SI.POV.DDAY",2013,..
"GRL","SI.POV.DDAY",2012,..
"GRL","SI.POV.DDAY",2011,..
"GRL","SI.POV.DDAY",2010,..
"GTM","SI.POV.DDAY",2013,..
"GTM","SI.POV.DDAY",2012,..
"GTM","SI.POV.DDAY",2011,..
"GTM","SI.POV.DDAY",2010,..
"GUM","SI.POV.DDAY",2013,..
"GUM","SI.POV.DDAY",2012,..
"GUM","SI.POV.DDAY",2011,..
"GUM","SI.POV.DDAY",2010,..
"GUY","SI.POV.DDAY",2013,..
"GUY","SI.POV.DDAY",2012,..
"GUY","SI.POV.DDAY",2011,..
"GUY","SI.POV.DDAY",2010,..
"HKG","SI.POV.DDAY",2013,..
"HKG","SI.POV.DDAY",2012,..
"HKG","SI.POV.DDAY",2011,..
"HKG","SI.POV.DDAY",2010,..
"HND","SI.POV.DDAY",2013,17.3
"HND","SI.POV.DDAY",2012,19.6
"HND","SI.POV.DDAY",2011,17.1
"HND","SI.POV.DDAY",2010,15
"HRV","SI.POV.DDAY",2013,0.7
"HRV","SI.POV.DDAY",2012,0.7
"HRV","SI.POV.DDAY",2011,0.7
"HRV","SI.POV.DDAY",2010,1.2
"HTI","SI.POV.DDAY",2013,..
"HTI","SI.POV.DDAY",2012,23.5
"HTI","SI.POV.DDAY",2011,..
"HTI","SI.POV.DDAY",2010,..
"HUN","SI.POV.DDAY",2013,0.2
"HUN","SI.POV.DDAY",2012,0.2
"HUN","SI.POV.DDAY",2011,0
"HUN","SI.POV.DDAY",2010,0
"IDN","SI.POV.DDAY",2013,9.4
"IDN","SI.POV.DDAY",2012,11.7
"IDN","SI.POV.DDAY",2011,13.3
"IDN","SI.POV.DDAY",2010,15.7
"IMN","SI.POV.DDAY",2013,..
"IMN","SI.POV.DDAY",2012,..
"IMN","SI.POV.DDAY",2011,..
"IMN","SI.POV.DDAY",2010,..
"IND","SI.POV.DDAY",2013,..
