"Country Code","Series Code","Time","Value"
"ABW","SG.GEN.PARL.ZS",2017,..
"AFG","SG.GEN.PARL.ZS",2017,27.7
"AGO","SG.GEN.PARL.ZS",2017,38.2
"ALB","SG.GEN.PARL.ZS",2017,27.9
"AND","SG.GEN.PARL.ZS",2017,32.1
"ARE","SG.GEN.PARL.ZS",2017,22.5
"ARG","SG.GEN.PARL.ZS",2017,38.9
"ARM","SG.GEN.PARL.ZS",2017,18.1
"ASM","SG.GEN.PARL.ZS",2017,..
"ATG","SG.GEN.PARL.ZS",2017,11.1
"AUS","SG.GEN.PARL.ZS",2017,28.7
"AUT","SG.GEN.PARL.ZS",2017,30.6
"AZE","SG.GEN.PARL.ZS",2017,16.8
"BDI","SG.GEN.PARL.ZS",2017,36.4
"BEL","SG.GEN.PARL.ZS",2017,38
"BEN","SG.GEN.PARL.ZS",2017,7.2
"BFA","SG.GEN.PARL.ZS",2017,11
"BGD","SG.GEN.PARL.ZS",2017,20.3
"BGR","SG.GEN.PARL.ZS",2017,23.8
"BHR","SG.GEN.PARL.ZS",2017,7.5
"BHS","SG.GEN.PARL.ZS",2017,12.8
"BIH","SG.GEN.PARL.ZS",2017,21.4
"BLR","SG.GEN.PARL.ZS",2017,34.5
"BLZ","SG.GEN.PARL.ZS",2017,9.4
"BMU","SG.GEN.PARL.ZS",2017,..
"BOL","SG.GEN.PARL.ZS",2017,53.1
"BRA","SG.GEN.PARL.ZS",2017,10.7
"BRB","SG.GEN.PARL.ZS",2017,16.7
"BRN","SG.GEN.PARL.ZS",2017,9.1
"BTN","SG.GEN.PARL.ZS",2017,8.5
"BWA","SG.GEN.PARL.ZS",2017,9.5
"CAF","SG.GEN.PARL.ZS",2017,8.6
"CAN","SG.GEN.PARL.ZS",2017,26.3
"CHE","SG.GEN.PARL.ZS",2017,32.5
"CHI","SG.GEN.PARL.ZS",2017,..
"CHL","SG.GEN.PARL.ZS",2017,15.8
"CHN","SG.GEN.PARL.ZS",2017,24.2
"CIV","SG.GEN.PARL.ZS",2017,10.6
"CMR","SG.GEN.PARL.ZS",2017,31.1
"COD","SG.GEN.PARL.ZS",2017,8.9
"COG","SG.GEN.PARL.ZS",2017,11.3
"COL","SG.GEN.PARL.ZS",2017,18.7
"COM","SG.GEN.PARL.ZS",2017,6.1
"CPV","SG.GEN.PARL.ZS",2017,23.6
"CRI","SG.GEN.PARL.ZS",2017,35.1
"CUB","SG.GEN.PARL.ZS",2017,48.9
"CUW","SG.GEN.PARL.ZS",2017,..
"CYM","SG.GEN.PARL.ZS",2017,..
"CYP","SG.GEN.PARL.ZS",2017,17.9
"CZE","SG.GEN.PARL.ZS",2017,20
"DEU","SG.GEN.PARL.ZS",2017,37
"DJI","SG.GEN.PARL.ZS",2017,10.8
"DMA","SG.GEN.PARL.ZS",2017,25
"DNK","SG.GEN.PARL.ZS",2017,37.4
"DOM","SG.GEN.PARL.ZS",2017,26.8
"DZA","SG.GEN.PARL.ZS",2017,25.8
"ECU","SG.GEN.PARL.ZS",2017,38
"EGY","SG.GEN.PARL.ZS",2017,14.9
"ERI","SG.GEN.PARL.ZS",2017,22
"ESP","SG.GEN.PARL.ZS",2017,39.1
"EST","SG.GEN.PARL.ZS",2017,26.7
"ETH","SG.GEN.PARL.ZS",2017,38.8
"FIN","SG.GEN.PARL.ZS",2017,42
"FJI","SG.GEN.PARL.ZS",2017,16
"FRA","SG.GEN.PARL.ZS",2017,39
"FRO","SG.GEN.PARL.ZS",2017,..
"FSM","SG.GEN.PARL.ZS",2017,0
"GAB","SG.GEN.PARL.ZS",2017,17.1
"GBR","SG.GEN.PARL.ZS",2017,32
"GEO","SG.GEN.PARL.ZS",2017,16
"GHA","SG.GEN.PARL.ZS",2017,12.7
