"Country Code","Series Code","Time","Value"
"PER","SI.SPR.PCAP",2016,13.41
"PER","SI.SPR.PCAP",2015,..
"PER","SI.SPR.PCAP",2014,..
"PER","SI.SPR.PCAP",2013,..
"PER","SI.SPR.PCAP",2012,..
"PER","SI.SPR.PCAP",2011,12.04
"PER","SI.DST.FRST.20",2016,4.6
"PER","SI.DST.FRST.20",2015,4.7
"PER","SI.DST.FRST.20",2014,4.7
"PER","SI.DST.FRST.20",2013,4.5
"PER","SI.DST.FRST.20",2012,4.3
"PER","SI.DST.FRST.20",2011,4.4
"PER","SI.DST.02ND.20",2016,9.7
"PER","SI.DST.02ND.20",2015,9.8
"PER","SI.DST.02ND.20",2014,9.7
"PER","SI.DST.02ND.20",2013,9.5
"PER","SI.DST.02ND.20",2012,9.5
"PER","SI.DST.02ND.20",2011,9.3
"PER","SI.DST.03RD.20",2016,14.8
"PER","SI.DST.03RD.20",2015,14.8
"PER","SI.DST.03RD.20",2014,15
"PER","SI.DST.03RD.20",2013,14.8
"PER","SI.DST.03RD.20",2012,14.8
"PER","SI.DST.03RD.20",2011,14.7
"PER","SI.DST.04TH.20",2016,22
"PER","SI.DST.04TH.20",2015,21.8
"PER","SI.DST.04TH.20",2014,22.2
"PER","SI.DST.04TH.20",2013,22
"PER","SI.DST.04TH.20",2012,21.9
"PER","SI.DST.04TH.20",2011,22
"PER","SI.DST.05TH.20",2016,48.9
"PER","SI.DST.05TH.20",2015,48.8
"PER","SI.DST.05TH.20",2014,48.5
"PER","SI.DST.05TH.20",2013,49.1
"PER","SI.DST.05TH.20",2012,49.5
"PER","SI.DST.05TH.20",2011,49.7
