"Country Code","Series Code","Time","Value"
"ABW","SI.POV.RUHC",2015,..
"ABW","SI.POV.RUHC",2014,..
"ABW","SI.POV.RUHC",2013,..
"ABW","SI.POV.RUHC",2012,..
"ABW","SI.POV.RUHC",2011,..
"ABW","SI.POV.RUHC",2010,..
"AFG","SI.POV.RUHC",2015,..
"AFG","SI.POV.RUHC",2014,..
"AFG","SI.POV.RUHC",2013,..
"AFG","SI.POV.RUHC",2012,..
"AFG","SI.POV.RUHC",2011,38.3
"AFG","SI.POV.RUHC",2010,..
"AGO","SI.POV.RUHC",2015,..
"AGO","SI.POV.RUHC",2014,..
"AGO","SI.POV.RUHC",2013,..
"AGO","SI.POV.RUHC",2012,..
"AGO","SI.POV.RUHC",2011,..
"AGO","SI.POV.RUHC",2010,..
"ALB","SI.POV.RUHC",2015,..
"ALB","SI.POV.RUHC",2014,..
"ALB","SI.POV.RUHC",2013,..
"ALB","SI.POV.RUHC",2012,15.3
"ALB","SI.POV.RUHC",2011,..
"ALB","SI.POV.RUHC",2010,..
"AND","SI.POV.RUHC",2015,..
"AND","SI.POV.RUHC",2014,..
"AND","SI.POV.RUHC",2013,..
"AND","SI.POV.RUHC",2012,..
"AND","SI.POV.RUHC",2011,..
"AND","SI.POV.RUHC",2010,..
"ARE","SI.POV.RUHC",2015,..
"ARE","SI.POV.RUHC",2014,..
"ARE","SI.POV.RUHC",2013,..
"ARE","SI.POV.RUHC",2012,..
"ARE","SI.POV.RUHC",2011,..
"ARE","SI.POV.RUHC",2010,..
"ARG","SI.POV.RUHC",2015,..
"ARG","SI.POV.RUHC",2014,..
"ARG","SI.POV.RUHC",2013,..
"ARG","SI.POV.RUHC",2012,..
"ARG","SI.POV.RUHC",2011,..
"ARG","SI.POV.RUHC",2010,..
"ARM","SI.POV.RUHC",2015,..
"ARM","SI.POV.RUHC",2014,29.9
"ARM","SI.POV.RUHC",2013,31.7
"ARM","SI.POV.RUHC",2012,32.1
"ARM","SI.POV.RUHC",2011,34.5
"ARM","SI.POV.RUHC",2010,36
"ASM","SI.POV.RUHC",2015,..
"ASM","SI.POV.RUHC",2014,..
"ASM","SI.POV.RUHC",2013,..
"ASM","SI.POV.RUHC",2012,..
"ASM","SI.POV.RUHC",2011,..
"ASM","SI.POV.RUHC",2010,..
"ATG","SI.POV.RUHC",2015,..
"ATG","SI.POV.RUHC",2014,..
"ATG","SI.POV.RUHC",2013,..
"ATG","SI.POV.RUHC",2012,..
"ATG","SI.POV.RUHC",2011,..
"ATG","SI.POV.RUHC",2010,..
"AUS","SI.POV.RUHC",2015,..
"AUS","SI.POV.RUHC",2014,..
"AUS","SI.POV.RUHC",2013,..
"AUS","SI.POV.RUHC",2012,..
"AUS","SI.POV.RUHC",2011,..
"AUS","SI.POV.RUHC",2010,..
"AUT","SI.POV.RUHC",2015,..
"AUT","SI.POV.RUHC",2014,..
"AUT","SI.POV.RUHC",2013,..
"AUT","SI.POV.RUHC",2012,..
"AUT","SI.POV.RUHC",2011,..
"AUT","SI.POV.RUHC",2010,..
"AZE","SI.POV.RUHC",2015,..
"AZE","SI.POV.RUHC",2014,..
"AZE","SI.POV.RUHC",2013,..
"AZE","SI.POV.RUHC",2012,..
"AZE","SI.POV.RUHC",2011,..
"AZE","SI.POV.RUHC",2010,..
"BDI","SI.POV.RUHC",2015,..
"BDI","SI.POV.RUHC",2014,68.8
"BDI","SI.POV.RUHC",2013,..
"BDI","SI.POV.RUHC",2012,..
"BDI","SI.POV.RUHC",2011,..
"BDI","SI.POV.RUHC",2010,..
"BEL","SI.POV.RUHC",2015,..
"BEL","SI.POV.RUHC",2014,..
"BEL","SI.POV.RUHC",2013,..
"BEL","SI.POV.RUHC",2012,..
"BEL","SI.POV.RUHC",2011,..
"BEL","SI.POV.RUHC",2010,..
"BEN","SI.POV.RUHC",2015,..
"BEN","SI.POV.RUHC",2014,..
"BEN","SI.POV.RUHC",2013,..
"BEN","SI.POV.RUHC",2012,..
"BEN","SI.POV.RUHC",2011,39.7
"BEN","SI.POV.RUHC",2010,..
"BFA","SI.POV.RUHC",2015,..
"BFA","SI.POV.RUHC",2014,47.5
"BFA","SI.POV.RUHC",2013,..
"BFA","SI.POV.RUHC",2012,..
"BFA","SI.POV.RUHC",2011,..
"BFA","SI.POV.RUHC",2010,..
"BGD","SI.POV.RUHC",2015,..
"BGD","SI.POV.RUHC",2014,..
"BGD","SI.POV.RUHC",2013,..
"BGD","SI.POV.RUHC",2012,..
"BGD","SI.POV.RUHC",2011,..
"BGD","SI.POV.RUHC",2010,35.2
"BGR","SI.POV.RUHC",2015,..
"BGR","SI.POV.RUHC",2014,..
"BGR","SI.POV.RUHC",2013,..
"BGR","SI.POV.RUHC",2012,..
"BGR","SI.POV.RUHC",2011,..
"BGR","SI.POV.RUHC",2010,..
"BHR","SI.POV.RUHC",2015,..
"BHR","SI.POV.RUHC",2014,..
"BHR","SI.POV.RUHC",2013,..
"BHR","SI.POV.RUHC",2012,..
"BHR","SI.POV.RUHC",2011,..
"BHR","SI.POV.RUHC",2010,..
"BHS","SI.POV.RUHC",2015,..
"BHS","SI.POV.RUHC",2014,..
"BHS","SI.POV.RUHC",2013,..
"BHS","SI.POV.RUHC",2012,..
"BHS","SI.POV.RUHC",2011,..
"BHS","SI.POV.RUHC",2010,..
"BIH","SI.POV.RUHC",2015,..
"BIH","SI.POV.RUHC",2014,..
"BIH","SI.POV.RUHC",2013,..
"BIH","SI.POV.RUHC",2012,..
"BIH","SI.POV.RUHC",2011,..
"BIH","SI.POV.RUHC",2010,..
"BLR","SI.POV.RUHC",2015,8.7
"BLR","SI.POV.RUHC",2014,7.9
"BLR","SI.POV.RUHC",2013,9
"BLR","SI.POV.RUHC",2012,9.4
"BLR","SI.POV.RUHC",2011,11.5
"BLR","SI.POV.RUHC",2010,8.9
"BLZ","SI.POV.RUHC",2015,..
"BLZ","SI.POV.RUHC",2014,..
"BLZ","SI.POV.RUHC",2013,..
"BLZ","SI.POV.RUHC",2012,..
"BLZ","SI.POV.RUHC",2011,..
"BLZ","SI.POV.RUHC",2010,..
"BMU","SI.POV.RUHC",2015,..
"BMU","SI.POV.RUHC",2014,..
"BMU","SI.POV.RUHC",2013,..
"BMU","SI.POV.RUHC",2012,..
"BMU","SI.POV.RUHC",2011,..
"BMU","SI.POV.RUHC",2010,..
"BOL","SI.POV.RUHC",2015,..
"BOL","SI.POV.RUHC",2014,57.6
"BOL","SI.POV.RUHC",2013,59.9
"BOL","SI.POV.RUHC",2012,61.2
"BOL","SI.POV.RUHC",2011,61.3
"BOL","SI.POV.RUHC",2010,..
"BRA","SI.POV.RUHC",2015,..
"BRA","SI.POV.RUHC",2014,..
"BRA","SI.POV.RUHC",2013,..
"BRA","SI.POV.RUHC",2012,..
"BRA","SI.POV.RUHC",2011,..
"BRA","SI.POV.RUHC",2010,..
"BRB","SI.POV.RUHC",2015,..
"BRB","SI.POV.RUHC",2014,..
"BRB","SI.POV.RUHC",2013,..
"BRB","SI.POV.RUHC",2012,..
