"Country Code","Series Code","Time","Value"
"ABW","SN.ITK.DEFC.ZS",2015,..
"AFG","SN.ITK.DEFC.ZS",2015,23
"AGO","SN.ITK.DEFC.ZS",2015,14
"ALB","SN.ITK.DEFC.ZS",2015,4.9
"AND","SN.ITK.DEFC.ZS",2015,..
"ARE","SN.ITK.DEFC.ZS",2015,3.8
"ARG","SN.ITK.DEFC.ZS",2015,3.6
"ARM","SN.ITK.DEFC.ZS",2015,4.4
"ASM","SN.ITK.DEFC.ZS",2015,..
"ATG","SN.ITK.DEFC.ZS",2015,26.7
"AUS","SN.ITK.DEFC.ZS",2015,2.5
"AUT","SN.ITK.DEFC.ZS",2015,2.5
"AZE","SN.ITK.DEFC.ZS",2015,2.5
"BDI","SN.ITK.DEFC.ZS",2015,..
"BEL","SN.ITK.DEFC.ZS",2015,2.5
"BEN","SN.ITK.DEFC.ZS",2015,10.3
"BFA","SN.ITK.DEFC.ZS",2015,20.2
"BGD","SN.ITK.DEFC.ZS",2015,15.1
"BGR","SN.ITK.DEFC.ZS",2015,3.4
"BHR","SN.ITK.DEFC.ZS",2015,..
"BHS","SN.ITK.DEFC.ZS",2015,10
"BIH","SN.ITK.DEFC.ZS",2015,2.5
"BLR","SN.ITK.DEFC.ZS",2015,2.5
"BLZ","SN.ITK.DEFC.ZS",2015,6.2
"BMU","SN.ITK.DEFC.ZS",2015,12.8
"BOL","SN.ITK.DEFC.ZS",2015,20.2
"BRA","SN.ITK.DEFC.ZS",2015,2.5
"BRB","SN.ITK.DEFC.ZS",2015,4.4
"BRN","SN.ITK.DEFC.ZS",2015,2.5
"BTN","SN.ITK.DEFC.ZS",2015,..
"BWA","SN.ITK.DEFC.ZS",2015,26
"CAF","SN.ITK.DEFC.ZS",2015,58.6
"CAN","SN.ITK.DEFC.ZS",2015,2.5
"CHE","SN.ITK.DEFC.ZS",2015,2.5
"CHI","SN.ITK.DEFC.ZS",2015,..
"CHL","SN.ITK.DEFC.ZS",2015,3.7
"CHN","SN.ITK.DEFC.ZS",2015,9.6
"CIV","SN.ITK.DEFC.ZS",2015,15.4
"CMR","SN.ITK.DEFC.ZS",2015,7.9
"COD","SN.ITK.DEFC.ZS",2015,..
"COG","SN.ITK.DEFC.ZS",2015,28.2
"COL","SN.ITK.DEFC.ZS",2015,7.1
"COM","SN.ITK.DEFC.ZS",2015,..
"CPV","SN.ITK.DEFC.ZS",2015,13.7
"CRI","SN.ITK.DEFC.ZS",2015,5.6
"CUB","SN.ITK.DEFC.ZS",2015,2.5
"CUW","SN.ITK.DEFC.ZS",2015,..
"CYM","SN.ITK.DEFC.ZS",2015,..
"CYP","SN.ITK.DEFC.ZS",2015,4.7
"CZE","SN.ITK.DEFC.ZS",2015,2.5
"DEU","SN.ITK.DEFC.ZS",2015,2.5
"DJI","SN.ITK.DEFC.ZS",2015,12.8
"DMA","SN.ITK.DEFC.ZS",2015,5.8
"DNK","SN.ITK.DEFC.ZS",2015,2.5
"DOM","SN.ITK.DEFC.ZS",2015,13.5
"DZA","SN.ITK.DEFC.ZS",2015,4.6
"ECU","SN.ITK.DEFC.ZS",2015,12.1
"EGY","SN.ITK.DEFC.ZS",2015,4.5
"ERI","SN.ITK.DEFC.ZS",2015,..
"ESP","SN.ITK.DEFC.ZS",2015,2.5
"EST","SN.ITK.DEFC.ZS",2015,2.5
"ETH","SN.ITK.DEFC.ZS",2015,28.8
"FIN","SN.ITK.DEFC.ZS",2015,2.5
