"Country Code","Series Code","Time","Value"
"ABW","SP.REG.BRTH.Q1.ZS",2017,..
"ABW","SP.REG.BRTH.Q1.ZS",2016,..
"ABW","SP.REG.BRTH.Q1.ZS",2015,..
"ABW","SP.REG.BRTH.Q1.ZS",2014,..
"ABW","SP.REG.BRTH.Q1.ZS",2013,..
"ABW","SP.REG.BRTH.Q1.ZS",2012,..
"ABW","SP.REG.BRTH.Q1.ZS",2011,..
"ABW","SP.REG.BRTH.Q1.ZS",2010,..
"AFG","SP.REG.BRTH.Q1.ZS",2017,..
"AFG","SP.REG.BRTH.Q1.ZS",2016,..
"AFG","SP.REG.BRTH.Q1.ZS",2015,29.8
"AFG","SP.REG.BRTH.Q1.ZS",2014,..
"AFG","SP.REG.BRTH.Q1.ZS",2013,..
"AFG","SP.REG.BRTH.Q1.ZS",2012,..
"AFG","SP.REG.BRTH.Q1.ZS",2011,31.4
"AFG","SP.REG.BRTH.Q1.ZS",2010,..
"AGO","SP.REG.BRTH.Q1.ZS",2017,..
"AGO","SP.REG.BRTH.Q1.ZS",2016,9.6
"AGO","SP.REG.BRTH.Q1.ZS",2015,..
"AGO","SP.REG.BRTH.Q1.ZS",2014,..
"AGO","SP.REG.BRTH.Q1.ZS",2013,..
"AGO","SP.REG.BRTH.Q1.ZS",2012,..
"AGO","SP.REG.BRTH.Q1.ZS",2011,..
"AGO","SP.REG.BRTH.Q1.ZS",2010,..
"ALB","SP.REG.BRTH.Q1.ZS",2017,..
"ALB","SP.REG.BRTH.Q1.ZS",2016,..
"ALB","SP.REG.BRTH.Q1.ZS",2015,..
"ALB","SP.REG.BRTH.Q1.ZS",2014,..
"ALB","SP.REG.BRTH.Q1.ZS",2013,..
"ALB","SP.REG.BRTH.Q1.ZS",2012,..
"ALB","SP.REG.BRTH.Q1.ZS",2011,..
"ALB","SP.REG.BRTH.Q1.ZS",2010,..
"AND","SP.REG.BRTH.Q1.ZS",2017,..
"AND","SP.REG.BRTH.Q1.ZS",2016,..
"AND","SP.REG.BRTH.Q1.ZS",2015,..
"AND","SP.REG.BRTH.Q1.ZS",2014,..
"AND","SP.REG.BRTH.Q1.ZS",2013,..
"AND","SP.REG.BRTH.Q1.ZS",2012,..
"AND","SP.REG.BRTH.Q1.ZS",2011,..
"AND","SP.REG.BRTH.Q1.ZS",2010,..
"ARE","SP.REG.BRTH.Q1.ZS",2017,..
"ARE","SP.REG.BRTH.Q1.ZS",2016,..
"ARE","SP.REG.BRTH.Q1.ZS",2015,..
"ARE","SP.REG.BRTH.Q1.ZS",2014,..
"ARE","SP.REG.BRTH.Q1.ZS",2013,..
"ARE","SP.REG.BRTH.Q1.ZS",2012,..
"ARE","SP.REG.BRTH.Q1.ZS",2011,..
"ARE","SP.REG.BRTH.Q1.ZS",2010,..
"ARG","SP.REG.BRTH.Q1.ZS",2017,..
"ARG","SP.REG.BRTH.Q1.ZS",2016,..
"ARG","SP.REG.BRTH.Q1.ZS",2015,..
"ARG","SP.REG.BRTH.Q1.ZS",2014,..
"ARG","SP.REG.BRTH.Q1.ZS",2013,..
"ARG","SP.REG.BRTH.Q1.ZS",2012,..
"ARG","SP.REG.BRTH.Q1.ZS",2011,..
"ARG","SP.REG.BRTH.Q1.ZS",2010,..
"ARM","SP.REG.BRTH.Q1.ZS",2017,..
"ARM","SP.REG.BRTH.Q1.ZS",2016,98.1
"ARM","SP.REG.BRTH.Q1.ZS",2015,..
"ARM","SP.REG.BRTH.Q1.ZS",2014,..
"ARM","SP.REG.BRTH.Q1.ZS",2013,..
"ARM","SP.REG.BRTH.Q1.ZS",2012,..
"ARM","SP.REG.BRTH.Q1.ZS",2011,..
"ARM","SP.REG.BRTH.Q1.ZS",2010,100
"ASM","SP.REG.BRTH.Q1.ZS",2017,..
"ASM","SP.REG.BRTH.Q1.ZS",2016,..
"ASM","SP.REG.BRTH.Q1.ZS",2015,..
"ASM","SP.REG.BRTH.Q1.ZS",2014,..
"ASM","SP.REG.BRTH.Q1.ZS",2013,..
"ASM","SP.REG.BRTH.Q1.ZS",2012,..
"ASM","SP.REG.BRTH.Q1.ZS",2011,..
"ASM","SP.REG.BRTH.Q1.ZS",2010,..
"ATG","SP.REG.BRTH.Q1.ZS",2017,..
"ATG","SP.REG.BRTH.Q1.ZS",2016,..
"ATG","SP.REG.BRTH.Q1.ZS",2015,..
"ATG","SP.REG.BRTH.Q1.ZS",2014,..
"ATG","SP.REG.BRTH.Q1.ZS",2013,..
"ATG","SP.REG.BRTH.Q1.ZS",2012,..
"ATG","SP.REG.BRTH.Q1.ZS",2011,..
"ATG","SP.REG.BRTH.Q1.ZS",2010,..
"AUS","SP.REG.BRTH.Q1.ZS",2017,..
"AUS","SP.REG.BRTH.Q1.ZS",2016,..
"AUS","SP.REG.BRTH.Q1.ZS",2015,..
"AUS","SP.REG.BRTH.Q1.ZS",2014,..
"AUS","SP.REG.BRTH.Q1.ZS",2013,..
"AUS","SP.REG.BRTH.Q1.ZS",2012,..
"AUS","SP.REG.BRTH.Q1.ZS",2011,..
"AUS","SP.REG.BRTH.Q1.ZS",2010,..
"AUT","SP.REG.BRTH.Q1.ZS",2017,..
"AUT","SP.REG.BRTH.Q1.ZS",2016,..
"AUT","SP.REG.BRTH.Q1.ZS",2015,..
"AUT","SP.REG.BRTH.Q1.ZS",2014,..
"AUT","SP.REG.BRTH.Q1.ZS",2013,..
"AUT","SP.REG.BRTH.Q1.ZS",2012,..
"AUT","SP.REG.BRTH.Q1.ZS",2011,..
"AUT","SP.REG.BRTH.Q1.ZS",2010,..
"AZE","SP.REG.BRTH.Q1.ZS",2017,..
"AZE","SP.REG.BRTH.Q1.ZS",2016,..
"AZE","SP.REG.BRTH.Q1.ZS",2015,..
"AZE","SP.REG.BRTH.Q1.ZS",2014,..
"AZE","SP.REG.BRTH.Q1.ZS",2013,..
"AZE","SP.REG.BRTH.Q1.ZS",2012,..
"AZE","SP.REG.BRTH.Q1.ZS",2011,..
"AZE","SP.REG.BRTH.Q1.ZS",2010,..
"BDI","SP.REG.BRTH.Q1.ZS",2017,..
"BDI","SP.REG.BRTH.Q1.ZS",2016,..
"BDI","SP.REG.BRTH.Q1.ZS",2015,..
"BDI","SP.REG.BRTH.Q1.ZS",2014,..
"BDI","SP.REG.BRTH.Q1.ZS",2013,..
"BDI","SP.REG.BRTH.Q1.ZS",2012,..
"BDI","SP.REG.BRTH.Q1.ZS",2011,..
"BDI","SP.REG.BRTH.Q1.ZS",2010,63.8
"BEL","SP.REG.BRTH.Q1.ZS",2017,..
"BEL","SP.REG.BRTH.Q1.ZS",2016,..
"BEL","SP.REG.BRTH.Q1.ZS",2015,..
"BEL","SP.REG.BRTH.Q1.ZS",2014,..
"BEL","SP.REG.BRTH.Q1.ZS",2013,..
"BEL","SP.REG.BRTH.Q1.ZS",2012,..
"BEL","SP.REG.BRTH.Q1.ZS",2011,..
"BEL","SP.REG.BRTH.Q1.ZS",2010,..
"BEN","SP.REG.BRTH.Q1.ZS",2017,..
"BEN","SP.REG.BRTH.Q1.ZS",2016,..
"BEN","SP.REG.BRTH.Q1.ZS",2015,..
"BEN","SP.REG.BRTH.Q1.ZS",2014,68.8
"BEN","SP.REG.BRTH.Q1.ZS",2013,..
"BEN","SP.REG.BRTH.Q1.ZS",2012,..
"BEN","SP.REG.BRTH.Q1.ZS",2011,..
"BEN","SP.REG.BRTH.Q1.ZS",2010,..
"BFA","SP.REG.BRTH.Q1.ZS",2017,..
"BFA","SP.REG.BRTH.Q1.ZS",2016,..
"BFA","SP.REG.BRTH.Q1.ZS",2015,..
"BFA","SP.REG.BRTH.Q1.ZS",2014,..
"BFA","SP.REG.BRTH.Q1.ZS",2013,..
"BFA","SP.REG.BRTH.Q1.ZS",2012,..
"BFA","SP.REG.BRTH.Q1.ZS",2011,..
"BFA","SP.REG.BRTH.Q1.ZS",2010,62
"BGD","SP.REG.BRTH.Q1.ZS",2017,..
"BGD","SP.REG.BRTH.Q1.ZS",2016,..
"BGD","SP.REG.BRTH.Q1.ZS",2015,..
"BGD","SP.REG.BRTH.Q1.ZS",2014,15.4
"BGD","SP.REG.BRTH.Q1.ZS",2013,30.4
"BGD","SP.REG.BRTH.Q1.ZS",2012,..
"BGD","SP.REG.BRTH.Q1.ZS",2011,..
"BGD","SP.REG.BRTH.Q1.ZS",2010,..
"BGR","SP.REG.BRTH.Q1.ZS",2017,..
"BGR","SP.REG.BRTH.Q1.ZS",2016,..
"BGR","SP.REG.BRTH.Q1.ZS",2015,..
"BGR","SP.REG.BRTH.Q1.ZS",2014,..
"BGR","SP.REG.BRTH.Q1.ZS",2013,..
"BGR","SP.REG.BRTH.Q1.ZS",2012,..
"BGR","SP.REG.BRTH.Q1.ZS",2011,..
"BGR","SP.REG.BRTH.Q1.ZS",2010,..
"BHR","SP.REG.BRTH.Q1.ZS",2017,..
"BHR","SP.REG.BRTH.Q1.ZS",2016,..
"BHR","SP.REG.BRTH.Q1.ZS",2015,..
"BHR","SP.REG.BRTH.Q1.ZS",2014,..
"BHR","SP.REG.BRTH.Q1.ZS",2013,..
"BHR","SP.REG.BRTH.Q1.ZS",2012,..
