"Country Code","Series Code","Time","Value"
"ABW","SH.STA.STNT.Q1.ZS",2017,..
"ABW","SH.STA.STNT.Q1.ZS",2016,..
"ABW","SH.STA.STNT.Q1.ZS",2015,..
"ABW","SH.STA.STNT.Q1.ZS",2014,..
"AFG","SH.STA.STNT.Q1.ZS",2017,..
"AFG","SH.STA.STNT.Q1.ZS",2016,..
"AFG","SH.STA.STNT.Q1.ZS",2015,..
"AFG","SH.STA.STNT.Q1.ZS",2014,..
"AGO","SH.STA.STNT.Q1.ZS",2017,..
"AGO","SH.STA.STNT.Q1.ZS",2016,47.3
"AGO","SH.STA.STNT.Q1.ZS",2015,..
"AGO","SH.STA.STNT.Q1.ZS",2014,..
"ALB","SH.STA.STNT.Q1.ZS",2017,..
"ALB","SH.STA.STNT.Q1.ZS",2016,..
"ALB","SH.STA.STNT.Q1.ZS",2015,..
"ALB","SH.STA.STNT.Q1.ZS",2014,..
"AND","SH.STA.STNT.Q1.ZS",2017,..
"AND","SH.STA.STNT.Q1.ZS",2016,..
"AND","SH.STA.STNT.Q1.ZS",2015,..
"AND","SH.STA.STNT.Q1.ZS",2014,..
"ARE","SH.STA.STNT.Q1.ZS",2017,..
"ARE","SH.STA.STNT.Q1.ZS",2016,..
"ARE","SH.STA.STNT.Q1.ZS",2015,..
"ARE","SH.STA.STNT.Q1.ZS",2014,..
"ARG","SH.STA.STNT.Q1.ZS",2017,..
"ARG","SH.STA.STNT.Q1.ZS",2016,..
"ARG","SH.STA.STNT.Q1.ZS",2015,..
"ARG","SH.STA.STNT.Q1.ZS",2014,..
"ARM","SH.STA.STNT.Q1.ZS",2017,..
"ARM","SH.STA.STNT.Q1.ZS",2016,12
"ARM","SH.STA.STNT.Q1.ZS",2015,..
"ARM","SH.STA.STNT.Q1.ZS",2014,..
"ASM","SH.STA.STNT.Q1.ZS",2017,..
"ASM","SH.STA.STNT.Q1.ZS",2016,..
"ASM","SH.STA.STNT.Q1.ZS",2015,..
"ASM","SH.STA.STNT.Q1.ZS",2014,..
"ATG","SH.STA.STNT.Q1.ZS",2017,..
"ATG","SH.STA.STNT.Q1.ZS",2016,..
"ATG","SH.STA.STNT.Q1.ZS",2015,..
"ATG","SH.STA.STNT.Q1.ZS",2014,..
"AUS","SH.STA.STNT.Q1.ZS",2017,..
"AUS","SH.STA.STNT.Q1.ZS",2016,..
"AUS","SH.STA.STNT.Q1.ZS",2015,..
"AUS","SH.STA.STNT.Q1.ZS",2014,..
"AUT","SH.STA.STNT.Q1.ZS",2017,..
"AUT","SH.STA.STNT.Q1.ZS",2016,..
"AUT","SH.STA.STNT.Q1.ZS",2015,..
"AUT","SH.STA.STNT.Q1.ZS",2014,..
"AZE","SH.STA.STNT.Q1.ZS",2017,..
"AZE","SH.STA.STNT.Q1.ZS",2016,..
"AZE","SH.STA.STNT.Q1.ZS",2015,..
"AZE","SH.STA.STNT.Q1.ZS",2014,..
