db_country_code,iso3c
BGD,
BANG,BGD
BGD_Chit,
BRA,
BRAZ,BRA
BRA_Rio,
CHN,
CHIN,CHN
CHN_Beij,
ZAR,COD
IND,
INDI,IND
IND_Delh,
IDN,
INDO,IDN
IDN_Sura,
JPN,
JAP,JPN
JPN_Osak,
KSV,XKX
MEX,
MEXI,MEX
MEX_Mont,
NGA,
NIGE,NGA
NGA_Kano,
PAK,
PAKI,PAK
PAK_Laho,
ROM,ROU
RUS,
RUSS,RUS
RUS_Sai,
TMP,TLS
USA,
US,USA
USA_Losa,
WBG,PSE
