"Goal","Target","Indicator Ref","IndicatorId","Indicator Description","Series Code","Series Type","Series Description","Parent Country or Area Code","Country or Area Code","Country or Area Name","LDC","LLDC","SIDS","Frequency","Source type","Age group","Location","Sex","Value type","Unit","Unit multiplier","2000","FN","2001","FN","2002","FN","2003","FN","2004","FN","2005","FN","2006","FN","2007","FN","2008","FN","2009","FN","2010","FN"
"12","12.2","12.2.1","C200202","Material footprint, material footprint per capita, and material footprint per GDP","EN_MAT_FTPRPC","SD","Material footprint per capita","","MDG_WORLD","World","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Metric Tons","Units","8.00","C, 1, 12","8.04","C, 2, 12","8.10","C, 3, 12","8.42","C, 4, 12","8.77","C, 5, 12","9.10","C, 6, 12","9.42","C, 7, 12","9.80","C, 8, 12","9.78","C, 9, 12","9.69","C, 10, 12","10.10","C, 11, 12"
"12","12.2","12.2.1","C200202","Material footprint, material footprint per capita, and material footprint per GDP","EN_MAT_FTPRPC","SD","Material footprint per capita","MDG_WORLD","SDG_NAEUR","Europe and Northern America","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Metric Tons","Units","20.23","C, 1, 12","20.35","C, 2, 12","20.67","C, 3, 12","21.06","C, 4, 12","21.99","C, 5, 12","22.84","C, 6, 12","23.07","C, 7, 12","23.60","C, 8, 12","22.56","C, 9, 12","20.20","C, 10, 12","20.13","C, 11, 12"
"12","12.2","12.2.1","C200202","Material footprint, material footprint per capita, and material footprint per GDP","EN_MAT_FTPRPC","SD","Material footprint per capita","SDG_NAEUR","M49_NAM","Northern America","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Metric Tons","Units","30.88","C, 1, 12","30.91","C, 2, 12","30.52","C, 3, 12","30.77","C, 4, 12","32.20","C, 5, 12","33.25","C, 6, 12","33.74","C, 7, 12","32.86","C, 8, 12","30.67","C, 9, 12","26.52","C, 10, 12","27.15","C, 11, 12"
"12","12.2","12.2.1","C200202","Material footprint, material footprint per capita, and material footprint per GDP","EN_MAT_FTPRPC","SD","Material footprint per capita","M49_NAM","CAN","Canada","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Metric Tons","Units","26.91","C, 1, 12","25.75","C, 2, 12","25.64","C, 3, 12","27.29","C, 4, 12","27.26","C, 5, 12","28.00","C, 6, 12","28.64","C, 7, 12","28.65","C, 8, 12","28.02","C, 9, 12","27.67","C, 10, 12","28.37","C, 11, 12"
"12","12.2","12.2.1","C200202","Material footprint, material footprint per capita, and material footprint per GDP","EN_MAT_FTPRPC","SD","Material footprint per capita","M49_NAM","USA","United States of America","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Metric Tons","Units","31.31","C, 1, 12","31.47","C, 2, 12","31.04","C, 3, 12","31.14","C, 4, 12","32.73","C, 5, 12","33.81","C, 6, 12","34.29","C, 7, 12","33.31","C, 8, 12","30.95","C, 9, 12","26.39","C, 10, 12","27.01","C, 11, 12"
"12","12.2","12.2.1","C200202","Material footprint, material footprint per capita, and material footprint per GDP","EN_MAT_FTPRPC","SD","Material footprint per capita","M49_EUR","M49_EUR_EE","Eastern Europe","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Metric Tons","Units","6.92","C, 1, 12","7.65","C, 2, 12","7.78","C, 3, 12","8.18","C, 4, 12","8.98","C, 5, 12","9.52","C, 6, 12","10.04","C, 7, 12","11.34","C, 8, 12","11.20","C, 9, 12","10.08","C, 10, 12","10.19","C, 11, 12"
"12","12.2","12.2.1","C200202","Material footprint, material footprint per capita, and material footprint per GDP","EN_MAT_FTPRPC","SD","Material footprint per capita","M49_EUR_EE","BLR","Belarus","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Metric Tons","Units","0.06","C, 1, 12","0.03","C, 2, 12","0.04","C, 3, 12","0.04","C, 4, 12","0.05","C, 5, 12","0.04","C, 6, 12","0.06","C, 7, 12","0.07","C, 8, 12","0.05","C, 9, 12","0.05","C, 10, 12","0.05","C, 11, 12"
"12","12.2","12.2.1","C200202","Material footprint, material footprint per capita, and material footprint per GDP","EN_MAT_FTPRPC","SD","Material footprint per capita","M49_EUR_EE","BGR","Bulgaria","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Metric Tons","Units","4.22","C, 1, 12","5.08","C, 2, 12","5.42","C, 3, 12","6.58","C, 4, 12","8.22","C, 5, 12","9.16","C, 6, 12","10.60","C, 7, 12","11.66","C, 8, 12","12.38","C, 9, 12","11.19","C, 10, 12","10.37","C, 11, 12"
"12","12.2","12.2.1","C200202","Material footprint, material footprint per capita, and material footprint per GDP","EN_MAT_FTPRPC","SD","Material footprint per capita","M49_EUR_EE","CZE","Czechia","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Metric Tons","Units","16.89","C, 1, 12","17.62","C, 2, 12","18.96","C, 3, 12","19.47","C, 4, 12","20.28","C, 5, 12","20.82","C, 6, 12","20.63","C, 7, 12","21.74","C, 8, 12","22.46","C, 9, 12","21.84","C, 10, 12","21.15","C, 11, 12"
"12","12.2","12.2.1","C200202","Material footprint, material footprint per capita, and material footprint per GDP","EN_MAT_FTPRPC","SD","Material footprint per capita","M49_EUR_EE","HUN","Hungary","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Metric Tons","Units","10.43","C, 1, 12","11.97","C, 2, 12","12.63","C, 3, 12","13.93","C, 4, 12","15.87","C, 5, 12","17.04","C, 6, 12","15.21","C, 7, 12","14.98","C, 8, 12","15.31","C, 9, 12","13.78","C, 10, 12","12.93","C, 11, 12"
"12","12.2","12.2.1","C200202","Material footprint, material footprint per capita, and material footprint per GDP","EN_MAT_FTPRPC","SD","Material footprint per capita","M49_EUR_EE","POL","Poland","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Metric Tons","Units","13.69","C, 1, 12","13.39","C, 2, 12","13.53","C, 3, 12","13.49","C, 4, 12","14.55","C, 5, 12","14.87","C, 6, 12","15.26","C, 7, 12","16.65","C, 8, 12","16.89","C, 9, 12","15.58","C, 10, 12","16.44","C, 11, 12"
