"Goal","Target","Indicator Ref","IndicatorId","Indicator Description","Series Code","Series Type","Series Description","Parent Country or Area Code","Country or Area Code","Country or Area Name","LDC","LLDC","SIDS","Frequency","Source type","Age group","Location","Sex","Value type","Unit","Unit multiplier","2000","FN","2001","FN","2002","FN","2003","FN","2004","FN","2005","FN","2006","FN","2007","FN","2008","FN","2009","FN","2010","FN"
"12","12.2","12.2.1","C200202","Material footprint, material footprint per capita, and material footprint per GDP","EN_MAT_FTPRPC","SD","Material footprint per capita","M49_EUR_EE","MDA","Republic of Moldova","","True","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Metric Tons","Units","0.05","C, 1, 12","0.04","C, 2, 12","0.05","C, 3, 12","0.07","C, 4, 12","0.09","C, 5, 12","0.12","C, 6, 12","0.18","C, 7, 12","0.24","C, 8, 12","0.39","C, 9, 12","0.44","C, 10, 12","0.52","C, 11, 12"
"12","12.2","12.2.1","C200202","Material footprint, material footprint per capita, and material footprint per GDP","EN_MAT_FTPRPC","SD","Material footprint per capita","M49_EUR_EE","ROU","Romania","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Metric Tons","Units","6.92","C, 1, 12","10.16","C, 2, 12","9.56","C, 3, 12","10.43","C, 4, 12","11.10","C, 5, 12","12.31","C, 6, 12","13.38","C, 7, 12","20.66","C, 8, 12","15.35","C, 9, 12","13.10","C, 10, 12","13.26","C, 11, 12"
"12","12.2","12.2.1","C200202","Material footprint, material footprint per capita, and material footprint per GDP","EN_MAT_FTPRPC","SD","Material footprint per capita","M49_EUR_EE","RUS","Russian Federation","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Metric Tons","Units","5.51","C, 1, 12","6.09","C, 2, 12","6.21","C, 3, 12","6.49","C, 4, 12","7.04","C, 5, 12","7.44","C, 6, 12","8.07","C, 7, 12","8.73","C, 8, 12","9.27","C, 9, 12","8.04","C, 10, 12","8.00","C, 11, 12"
"12","12.2","12.2.1","C200202","Material footprint, material footprint per capita, and material footprint per GDP","EN_MAT_FTPRPC","SD","Material footprint per capita","M49_EUR_EE","SVK","Slovakia","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Metric Tons","Units","20.51","C, 1, 12","22.90","C, 2, 12","24.09","C, 3, 12","27.11","C, 4, 12","29.43","C, 5, 12","31.97","C, 6, 12","31.42","C, 7, 12","37.61","C, 8, 12","35.98","C, 9, 12","35.16","C, 10, 12","37.20","C, 11, 12"
"12","12.2","12.2.1","C200202","Material footprint, material footprint per capita, and material footprint per GDP","EN_MAT_FTPRPC","SD","Material footprint per capita","M49_EUR_EE","UKR","Ukraine","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Metric Tons","Units","3.89","C, 1, 12","4.54","C, 2, 12","4.52","C, 3, 12","4.82","C, 4, 12","5.89","C, 5, 12","6.42","C, 6, 12","7.17","C, 7, 12","7.84","C, 8, 12","7.29","C, 9, 12","6.81","C, 10, 12","7.01","C, 11, 12"
"12","12.2","12.2.1","C200202","Material footprint, material footprint per capita, and material footprint per GDP","EN_MAT_FTPRPC","SD","Material footprint per capita","M49_EUR","M49_EUR_NE","Northern Europe","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Metric Tons","Units","22.96","C, 1, 12","22.12","C, 2, 12","22.54","C, 3, 12","23.15","C, 4, 12","24.22","C, 5, 12","25.68","C, 6, 12","26.24","C, 7, 12","27.13","C, 8, 12","25.43","C, 9, 12","22.04","C, 10, 12","22.22","C, 11, 12"
"12","12.2","12.2.1","C200202","Material footprint, material footprint per capita, and material footprint per GDP","EN_MAT_FTPRPC","SD","Material footprint per capita","M49_EUR_NE","DNK","Denmark","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Metric Tons","Units","22.84","C, 1, 12","21.76","C, 2, 12","22.67","C, 3, 12","22.94","C, 4, 12","23.91","C, 5, 12","24.94","C, 6, 12","26.12","C, 7, 12","28.15","C, 8, 12","27.02","C, 9, 12","25.27","C, 10, 12","23.87","C, 11, 12"
"12","12.2","12.2.1","C200202","Material footprint, material footprint per capita, and material footprint per GDP","EN_MAT_FTPRPC","SD","Material footprint per capita","M49_EUR_NE","EST","Estonia","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Metric Tons","Units","12.47","C, 1, 12","12.45","C, 2, 12","14.07","C, 3, 12","17.60","C, 4, 12","18.21","C, 5, 12","19.63","C, 6, 12","21.21","C, 7, 12","24.68","C, 8, 12","22.55","C, 9, 12","19.81","C, 10, 12","18.61","C, 11, 12"
"12","12.2","12.2.1","C200202","Material footprint, material footprint per capita, and material footprint per GDP","EN_MAT_FTPRPC","SD","Material footprint per capita","M49_EUR_NE","FIN","Finland","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Metric Tons","Units","36.77","C, 1, 12","35.99","C, 2, 12","36.75","C, 3, 12","38.58","C, 4, 12","39.35","C, 5, 12","39.06","C, 6, 12","39.20","C, 7, 12","40.84","C, 8, 12","38.59","C, 9, 12","35.76","C, 10, 12","34.43","C, 11, 12"
"12","12.2","12.2.1","C200202","Material footprint, material footprint per capita, and material footprint per GDP","EN_MAT_FTPRPC","SD","Material footprint per capita","M49_EUR_NE","ISL","Iceland","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Metric Tons","Units","34.10","C, 1, 12","29.02","C, 2, 12","28.51","C, 3, 12","32.21","C, 4, 12","36.59","C, 5, 12","45.66","C, 6, 12","49.70","C, 7, 12","49.64","C, 8, 12","37.09","C, 9, 12","27.27","C, 10, 12","26.81","C, 11, 12"
"12","12.2","12.2.1","C200202","Material footprint, material footprint per capita, and material footprint per GDP","EN_MAT_FTPRPC","SD","Material footprint per capita","M49_EUR_NE","IRL","Ireland","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Metric Tons","Units","32.20","C, 1, 12","31.29","C, 2, 12","32.24","C, 3, 12","33.61","C, 4, 12","36.20","C, 5, 12","39.59","C, 6, 12","44.25","C, 7, 12","45.82","C, 8, 12","38.56","C, 9, 12","31.20","C, 10, 12","26.41","C, 11, 12"
"12","12.2","12.2.1","C200202","Material footprint, material footprint per capita, and material footprint per GDP","EN_MAT_FTPRPC","SD","Material footprint per capita","M49_EUR_NE","LVA","Latvia","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Metric Tons","Units","13.16","C, 1, 12","13.39","C, 2, 12","14.46","C, 3, 12","16.02","C, 4, 12","17.77","C, 5, 12","18.84","C, 6, 12","21.25","C, 7, 12","25.98","C, 8, 12","24.88","C, 9, 12","20.48","C, 10, 12","21.26","C, 11, 12"
"12","12.2","12.2.1","C200202","Material footprint, material footprint per capita, and material footprint per GDP","EN_MAT_FTPRPC","SD","Material footprint per capita","M49_EUR_NE","LTU","Lithuania","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Metric Tons","Units","14.30","C, 1, 12","14.40","C, 2, 12","16.31","C, 3, 12","19.40","C, 4, 12","21.04","C, 5, 12","22.56","C, 6, 12","24.13","C, 7, 12","28.60","C, 8, 12","29.89","C, 9, 12","25.05","C, 10, 12","25.15","C, 11, 12"
"12","12.2","12.2.1","C200202","Material footprint, material footprint per capita, and material footprint per GDP","EN_MAT_FTPRPC","SD","Material footprint per capita","M49_EUR_NE","NOR","Norway","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Metric Tons","Units","32.15","C, 1, 12","32.76","C, 2, 12","33.30","C, 3, 12","33.27","C, 4, 12","34.20","C, 5, 12","35.27","C, 6, 12","35.58","C, 7, 12","39.21","C, 8, 12","38.55","C, 9, 12","35.15","C, 10, 12","36.11","C, 11, 12"
"12","12.2","12.2.1","C200202","Material footprint, material footprint per capita, and material footprint per GDP","EN_MAT_FTPRPC","SD","Material footprint per capita","M49_EUR_NE","SWE","Sweden","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Metric Tons","Units","24.09","C, 1, 12","21.95","C, 2, 12","22.09","C, 3, 12","23.19","C, 4, 12","24.03","C, 5, 12","25.84","C, 6, 12","24.96","C, 7, 12","26.40","C, 8, 12","25.11","C, 9, 12","21.47","C, 10, 12","23.57","C, 11, 12"
"12","12.2","12.2.1","C200202","Material footprint, material footprint per capita, and material footprint per GDP","EN_MAT_FTPRPC","SD","Material footprint per capita","M49_EUR_NE","GBR","United Kingdom of Great Britain and Northern Ireland","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Metric Tons","Units","21.38","C, 1, 12","20.53","C, 2, 12","20.72","C, 3, 12","20.90","C, 4, 12","21.87","C, 5, 12","23.31","C, 6, 12","23.61","C, 7, 12","23.59","C, 8, 12","22.02","C, 9, 12","18.89","C, 10, 12","19.37","C, 11, 12"
"12","12.2","12.2.1","C200202","Material footprint, material footprint per capita, and material footprint per GDP","EN_MAT_FTPRPC","SD","Material footprint per capita","M49_EUR","M49_EUR_SE","Southern Europe","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Metric Tons","Units","21.08","C, 1, 12","21.26","C, 2, 12","23.16","C, 3, 12","23.45","C, 4, 12","23.38","C, 5, 12","24.65","C, 6, 12","23.62","C, 7, 12","24.93","C, 8, 12","23.87","C, 9, 12","21.41","C, 10, 12","20.28","C, 11, 12"
"12","12.2","12.2.1","C200202","Material footprint, material footprint per capita, and material footprint per GDP","EN_MAT_FTPRPC","SD","Material footprint per capita","M49_EUR_SE","ALB","Albania","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Metric Tons","Units","3.38","C, 1, 12","3.13","C, 2, 12","3.40","C, 3, 12","5.13","C, 4, 12","5.75","C, 5, 12","5.79","C, 6, 12","7.05","C, 7, 12","8.66","C, 8, 12","8.33","C, 9, 12","9.67","C, 10, 12","8.25","C, 11, 12"
"12","12.2","12.2.1","C200202","Material footprint, material footprint per capita, and material footprint per GDP","EN_MAT_FTPRPC","SD","Material footprint per capita","M49_EUR_SE","AND","Andorra","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Metric Tons","Units","49.34","C, 1, 12","44.82","C, 2, 12","45.96","C, 3, 12","46.05","C, 4, 12","55.95","C, 5, 12","0.00","C, 6, 12","0.00","C, 7, 12","0.00","C, 8, 12","0.00","C, 9, 12","0.00","C, 10, 12","0.00","C, 11, 12"
"12","12.2","12.2.1","C200202","Material footprint, material footprint per capita, and material footprint per GDP","EN_MAT_FTPRPC","SD","Material footprint per capita","M49_EUR_SE","BIH","Bosnia and Herzegovina","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Metric Tons","Units","5.41","C, 1, 12","6.64","C, 2, 12","7.62","C, 3, 12","7.28","C, 4, 12","7.67","C, 5, 12","7.57","C, 6, 12","8.15","C, 7, 12","8.11","C, 8, 12","8.48","C, 9, 12","8.22","C, 10, 12","7.52","C, 11, 12"
"12","12.2","12.2.1","C200202","Material footprint, material footprint per capita, and material footprint per GDP","EN_MAT_FTPRPC","SD","Material footprint per capita","M49_EUR_SE","HRV","Croatia","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Metric Tons","Units","10.29","C, 1, 12","11.67","C, 2, 12","12.77","C, 3, 12","13.75","C, 4, 12","15.13","C, 5, 12","15.26","C, 6, 12","16.09","C, 7, 12","16.19","C, 8, 12","17.34","C, 9, 12","15.20","C, 10, 12","12.97","C, 11, 12"
"12","12.2","12.2.1","C200202","Material footprint, material footprint per capita, and material footprint per GDP","EN_MAT_FTPRPC","SD","Material footprint per capita","M49_EUR_SE","GRC","Greece","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Metric Tons","Units","29.18","C, 1, 12","29.38","C, 2, 12","29.84","C, 3, 12","32.61","C, 4, 12","32.35","C, 5, 12","32.57","C, 6, 12","32.32","C, 7, 12","36.06","C, 8, 12","35.65","C, 9, 12","32.70","C, 10, 12","28.43","C, 11, 12"
"12","12.2","12.2.1","C200202","Material footprint, material footprint per capita, and material footprint per GDP","EN_MAT_FTPRPC","SD","Material footprint per capita","M49_EUR_SE","ITA","Italy","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Metric Tons","Units","20.78","C, 1, 12","20.58","C, 2, 12","20.63","C, 3, 12","20.93","C, 4, 12","21.54","C, 5, 12","22.36","C, 6, 12","22.55","C, 7, 12","22.68","C, 8, 12","21.95","C, 9, 12","20.67","C, 10, 12","19.18","C, 11, 12"
"12","12.2","12.2.1","C200202","Material footprint, material footprint per capita, and material footprint per GDP","EN_MAT_FTPRPC","SD","Material footprint per capita","M49_EUR_SE","MLT","Malta","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Metric Tons","Units","20.67","C, 1, 12","18.43","C, 2, 12","18.70","C, 3, 12","19.38","C, 4, 12","20.37","C, 5, 12","20.76","C, 6, 12","21.29","C, 7, 12","22.65","C, 8, 12","21.15","C, 9, 12","19.48","C, 10, 12","19.82","C, 11, 12"
"12","12.2","12.2.1","C200202","Material footprint, material footprint per capita, and material footprint per GDP","EN_MAT_FTPRPC","SD","Material footprint per capita","M49_EUR_SE","MNE","Montenegro","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Metric Tons","Units","","","","","","","","","","","","","20.05","C, 7, 12","27.87","C, 8, 12","26.06","C, 9, 12","15.42","C, 10, 12","21.61","C, 11, 12"
"12","12.2","12.2.1","C200202","Material footprint, material footprint per capita, and material footprint per GDP","EN_MAT_FTPRPC","SD","Material footprint per capita","M49_EUR_SE","PRT","Portugal","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Metric Tons","Units","21.21","C, 1, 12","20.77","C, 2, 12","20.35","C, 3, 12","19.24","C, 4, 12","20.67","C, 5, 12","21.60","C, 6, 12","22.96","C, 7, 12","25.90","C, 8, 12","26.55","C, 9, 12","23.02","C, 10, 12","22.00","C, 11, 12"
"12","12.2","12.2.1","C200202","Material footprint, material footprint per capita, and material footprint per GDP","EN_MAT_FTPRPC","SD","Material footprint per capita","M49_EUR_SE","SMR","San Marino","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Metric Tons","Units","59.19","C, 1, 12","44.56","C, 2, 12","48.25","C, 3, 12","57.45","C, 4, 12","61.03","C, 5, 12","61.93","C, 6, 12","77.94","C, 7, 12","99.31","C, 8, 12","57.90","C, 9, 12","69.32","C, 10, 12","104.52","C, 11, 12"
"12","12.2","12.2.1","C200202","Material footprint, material footprint per capita, and material footprint per GDP","EN_MAT_FTPRPC","SD","Material footprint per capita","M49_EUR_SE","SRB","Serbia","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Metric Tons","Units","","","","","","","","","","","","","10.33","C, 7, 12","11.09","C, 8, 12","11.14","C, 9, 12","11.28","C, 10, 12","14.36","C, 11, 12"
"12","12.2","12.2.1","C200202","Material footprint, material footprint per capita, and material footprint per GDP","EN_MAT_FTPRPC","SD","Material footprint per capita","M49_EUR_SE","SVN","Slovenia","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Metric Tons","Units","20.01","C, 1, 12","19.18","C, 2, 12","20.02","C, 3, 12","21.56","C, 4, 12","23.07","C, 5, 12","23.59","C, 6, 12","26.20","C, 7, 12","28.26","C, 8, 12","26.88","C, 9, 12","22.85","C, 10, 12","22.49","C, 11, 12"
"12","12.2","12.2.1","C200202","Material footprint, material footprint per capita, and material footprint per GDP","EN_MAT_FTPRPC","SD","Material footprint per capita","M49_EUR_SE","ESP","Spain","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Metric Tons","Units","23.96","C, 1, 12","24.72","C, 2, 12","25.61","C, 3, 12","27.98","C, 4, 12","28.76","C, 5, 12","34.13","C, 6, 12","29.59","C, 7, 12","31.55","C, 8, 12","28.76","C, 9, 12","24.17","C, 10, 12","23.28","C, 11, 12"
"12","12.2","12.2.1","C200202","Material footprint, material footprint per capita, and material footprint per GDP","EN_MAT_FTPRPC","SD","Material footprint per capita","M49_EUR_SE","MKD","The former Yugoslav Republic of Macedonia","","True","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Metric Tons","Units","7.15","C, 1, 12","6.28","C, 2, 12","6.75","C, 3, 12","7.58","C, 4, 12","7.96","C, 5, 12","8.44","C, 6, 12","9.13","C, 7, 12","10.28","C, 8, 12","11.59","C, 9, 12","10.82","C, 10, 12","10.37","C, 11, 12"
"12","12.2","12.2.1","C200202","Material footprint, material footprint per capita, and material footprint per GDP","EN_MAT_FTPRPC","SD","Material footprint per capita","M49_EUR","M49_EUR_WE","Western Europe","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Metric Tons","Units","22.02","C, 1, 12","21.44","C, 2, 12","21.68","C, 3, 12","22.03","C, 4, 12","22.72","C, 5, 12","22.84","C, 6, 12","22.76","C, 7, 12","23.52","C, 8, 12","23.31","C, 9, 12","22.66","C, 10, 12","21.61","C, 11, 12"
"12","12.2","12.2.1","C200202","Material footprint, material footprint per capita, and material footprint per GDP","EN_MAT_FTPRPC","SD","Material footprint per capita","M49_EUR_WE","AUT","Austria","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Metric Tons","Units","27.73","C, 1, 12","27.23","C, 2, 12","27.98","C, 3, 12","28.87","C, 4, 12","30.47","C, 5, 12","31.04","C, 6, 12","31.28","C, 7, 12","32.69","C, 8, 12","31.64","C, 9, 12","30.77","C, 10, 12","29.81","C, 11, 12"
"12","12.2","12.2.1","C200202","Material footprint, material footprint per capita, and material footprint per GDP","EN_MAT_FTPRPC","SD","Material footprint per capita","M49_EUR_WE","BEL","Belgium","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Metric Tons","Units","20.16","C, 1, 12","18.86","C, 2, 12","19.15","C, 3, 12","19.62","C, 4, 12","20.25","C, 5, 12","20.72","C, 6, 12","20.62","C, 7, 12","21.40","C, 8, 12","21.73","C, 9, 12","20.54","C, 10, 12","19.27","C, 11, 12"
"12","12.2","12.2.1","C200202","Material footprint, material footprint per capita, and material footprint per GDP","EN_MAT_FTPRPC","SD","Material footprint per capita","M49_EUR_WE","FRA","France","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Metric Tons","Units","21.94","C, 1, 12","21.16","C, 2, 12","21.65","C, 3, 12","22.03","C, 4, 12","22.60","C, 5, 12","22.78","C, 6, 12","22.49","C, 7, 12","23.00","C, 8, 12","22.73","C, 9, 12","22.02","C, 10, 12","20.59","C, 11, 12"
"12","12.2","12.2.1","C200202","Material footprint, material footprint per capita, and material footprint per GDP","EN_MAT_FTPRPC","SD","Material footprint per capita","M49_EUR_WE","DEU","Germany","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Metric Tons","Units","22.50","C, 1, 12","21.36","C, 2, 12","20.88","C, 3, 12","21.41","C, 4, 12","22.11","C, 5, 12","21.95","C, 6, 12","21.75","C, 7, 12","22.45","C, 8, 12","22.32","C, 9, 12","21.96","C, 10, 12","21.10","C, 11, 12"
"12","12.2","12.2.1","C200202","Material footprint, material footprint per capita, and material footprint per GDP","EN_MAT_FTPRPC","SD","Material footprint per capita","M49_EUR_WE","LIE","Liechtenstein","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Metric Tons","Units","49.68","C, 1, 12","40.25","C, 2, 12","42.08","C, 3, 12","50.28","C, 4, 12","51.87","C, 5, 12","50.88","C, 6, 12","59.12","C, 7, 12","68.20","C, 8, 12","41.31","C, 9, 12","42.91","C, 10, 12","44.37","C, 11, 12"
"12","12.2","12.2.1","C200202","Material footprint, material footprint per capita, and material footprint per GDP","EN_MAT_FTPRPC","SD","Material footprint per capita","M49_EUR_WE","LUX","Luxembourg","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Metric Tons","Units","0.00","C, 1, 12","0.00","C, 2, 12","0.00","C, 3, 12","0.00","C, 4, 12","0.00","C, 5, 12","0.00","C, 6, 12","0.00","C, 7, 12","0.00","C, 8, 12","0.00","C, 9, 12","0.00","C, 10, 12","0.00","C, 11, 12"
