iso3c,date,RAI,no_access_pop
ZMB,2011,17,6.9
LSO,2015,18.0,1.29
MOZ,2010,20.4,15
ETH,2015,21.6,63.7
TZA,2014,24.6,32.8
UGA,2015,53.1,16.3
NPL,2015,54.2,10.3
RWA,2016,55.3,3.9
KEN,2009,56,13.3
BGD,2015,86.7,15.9
