country,commitment
Afghanistan,8564.6741
Angola,8119.49
Bangladesh,41271.94474
Benin,5788.811586
Bhutan,6613.1827
Botswana,7242.6728
Burkina Faso,363.4617279
Cambodia,6952.192672
Cameroon,22199.47534
Central African Republic,4122.011527
Chad,10034.745
China,39778.60942
"Congo, Republic (Brazzaville)",26656.04534
Cote d'Ivoire,19649.25405
Democratic Republic of Congo (Kinhasa),72502.97394
Equatorial Guinea,139.15135
Eritrea,5584
Ethiopia,6614.1885
Gabon,43511.32173
"Gambia, The",1197
Ghana,7567.25
Guinea,1255.4375
India,20776.57034
Indonesia,38071.45884
Iraq,1200
Kenya,21528.47785
Kyrgyz Republic,387.911333
Lao People's Democratic Republic,37629.58033
"Liberia, Republic of",6319.454212
Madagascar,39056.26672
Malawi,15193.32676
Malaysia,10852.0357
Mali,4297.1534
Mongolia,2037.517346
Mozambique,61537.90074
Myanmar,19631.13535
"Namibia, Republic of",27055.939
Nepal,6711.20525
Niger,1433.7
Nigeria,255.485
Pakistan,3080
Philippines,4935.611919
Russia,1084.833
Rwanda,761.583
Sao Tome and Principe,271.7969067
Senegal,1255
Singapore ,15
Somalia,82.515
South Africa,18974.9828
South Sudan,5805.799
Sri Lanka,11250
Sudan,311.365
Swaziland,5180
Tanzania,109120.8826
Thailand,13610.61266
Uganda,8187.802682
Vietnam,24075.94344
Yemen,4633
Zambia,21070.7785
Zimbabwe,16036.22139
Regional/Multi-country,339476.2177
Global,81169.80792
