iso3c,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017
EAS,8.97,8.88,9,8.28,8.52,8.38,7.92,8.12,8.13,8.11,7.82,7.97,8.33,8.49,8.24,8.2,8.24,8.12,8.03,7.42
ECS,6.77,6.7,6.68,6.29,6.49,6.35,6.17,6.22,6.11,6.02,5.89,6.48,6.48,6.4,6.36,6.3,6.48,6.41,6.36,6.61
LCN,7.77,7.28,7.26,7.02,6.21,5.57,6.02,6.03,6.14,6.78,6.29,6.04,5.92,6.02,6.17,6.12,6.01,5.74,5.68,5.85
MEA,7.81,7.83,7.61,7.8,8.32,8.29,8.25,8.63,8.41,8.21,8.37,7.42,7.46,7.63,7.02,7.63,7.35,7.43,7.38,7.41
SAS,7.16,7.02,7.12,6.58,6.56,6.45,5.97,5.94,5.96,5.74,5.73,5.43,5.54,5.56,5.41,5.31,5.4,5.52,5.43,5.34
SSF,12.21,12.06,12.29,12.55,11.71,11.55,11.28,11.45,10.21,9.74,9.78,9.53,9.72,9.58,9.52,9.48,9.81,9.42,9.08,9.27
WLD,9.05,8.88,8.93,8.58,8.36,8.14,7.9,7.99,7.72,7.68,7.52,7.37,7.53,7.6,7.42,7.4,7.45,7.32,7.21,7.09
