Region,Total,Ambient_PM2.5,Household_PM2.5,Ambient_Ozone
EAS,0.29,0.21,0.1,0.03
ECS,0.11,0.1,0.01,0.02
LCN,0.16,0.12,0.05,0.01
MEA,0.23,0.22,0,0.01
NAC,0.11,0.1,0,0.05
SAS,1.22,0.75,0.69,0.14
SSF,1.19,0.55,0.85,0.02
